R1	R2	R3	P1	P2	P3	P4	P5	Number	Reaction_enthalpy
Mg	H3O+		H	H2O	Mg+			4814	97.22562516971014
Mg	NH4+		H	NH3	Mg+			4815	260.58568901336446
Mg	HCNH+		H	HCN	Mg+			4816	119.49496821257905
Mg	HCNH+		H	HNC	Mg+			4817	179.3408744448291
N2O	HCO+		CO	HN2O+				4822	30.931254151216674
S	CN		C	NS				4846	278.3478936239509
S	CN		N	CS				4847	27.74613120902676
S	NO		O	NS				4882	166.65055335982066
H2	C3		H	l-C3H				4912	126.91428494927827
H2	C3		H	c-C3H				4913	118.77956640460324
H2	l-C3H		H	l-C3H2				4915	47.217200123292415
H2	C5		H	C5H				4917	81.30858508025143
H2	C5H		H	C5H2				4918	79.6324657525349
H2	C7		H	C7H				4920	47.407916457594105
H2	C7H		H	C7H2				4921	102.8494227060216
H2	C9H		H	C9H2				4925	121.27744103998617
H	C4H2		CCH	C2H2				4930	118.01136106152421
H	C5H2		CCH	l-C3H2				4932	116.16851196919114
H	C6H2		CCH	C4H2				4935	124.55519976814485
H	C7H2		CCH	C5H2				4937	112.48889969402575
H	C8H2		CCH	C6H2				4938	126.60316868904252
H	C9H2		CCH	C7H2				4940	113.22847684508743
H2	C4H2		H	C4H3				4948	246.17999448441546
O2	C2H2		CCH	O2H				4963	347.76768108456156
O2	C4H2		O2H	C4H				4966	346.98833810714666
O2	C6H2		O2H	C6H				4968	334.6432099118498
O2	C8H2		O2H	C8H				4970	330.07785888898024
O2	C10H2		O2H	C10H				4972	327.8555042445851
H	C10H2		CCH	C8H2				4974	127.13467494955566
H2	c-C3H2		H	CH2CCH				4992	72.8821997183471
H	HC4N		CH2	C3N				4996	229.3658766372259
H	HC6N		CH2	C5N				4998	258.00688070904096
H	HC8N		CH2	C7N				5000	262.8124387450289
SiS	S+		S	SiS+				5247	25.541023475725197
SiS	S+		S	SiS+				5247	25.541023475725197
CO	CN+		CN	CO+				5265	24.679384194475944
NO	C3H+		c-C3H	NO+				5405	10.92641290736823
NO	C3H+		c-C3H	NO+				5405	10.92641290736823
NH3	C3H+		c-C3H	NH3+				5406	96.04141168308088
H2S	S+		S	H2S+				5557	20.043226056777016
H2S	S+		S	H2S+				5557	20.043226056777016
C6	C+		C	C6+				6080	118.8449941321454
C8	C+		C	C8+				6081	16.833704341364427
H	C+		C	H+				6092	233.2078445938164
H	S+		S	H+				6094	332.839911354444
N	H+		H	N+				6096	84.22716225357617
CH2	C4H2		CH3	C4H				6946	94.78284665615226
CH3	C2H5		C3H7	H				6952	55.159026056290614
CH3	CH3CCH		CCH	C2H6				6954	154.5305933124462
CH3	C4H3		CCH	C3H5				6963	100.07642216743602
CCH	CH3CHCH2		CH	CH2CHCHCH2				6976	106.35146216346533
C2H2	C2H5		CCH	C2H6				7000	134.45079141235087
CH4	l-C3H2		CH3	CH2CCH				7013	18.37102660096887
l-C3H2	C3H8		C2H5	C4H5				7019	34.87076206577676
CH4	C4H3		CH3	CH2CHC2H				7051	14.076417158812811
NH2	C2H2		CCH	NH3				7063	111.13258729464123
C2H3+	CO		C2H3CO+					7120	12.174208132350213
c-C3H2O	H3O+		C2H3CO+	H2O				7129	15.544292312561517
H2CCCO	H3O+		C2H3CO+	H2O				7132	48.3836024791383
