R1	R2	R3	P1	P2	P3	P4	P5	A	B	C	D	E	Distr	Type	T_min	T_max	Formula	Number	n3	n4	comment	enthalpy	C_kjmol	enthalpy-C_kjmol
C10H2+	CN-		H	CN	C10H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	4243	1	1		57.38078471210031	0.0	57.38078471210031
C10H2+	C4H-		H	C4H	C10H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	4245	1	1		29.030628301347093	0.0	29.030628301347093
C10H2+	C6-		H	C6	C10H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	4248	1	1		83.48975114012552	0.0	83.48975114012552
C10H2+	C6H-		H	C6H	C10H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	4249	1	1		50.94087380533944	0.0	50.94087380533944
C10H2+	C8-		H	C8	C10H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	4252	1	1		103.99947607238305	0.0	103.99947607238305
C10H2+	C8H-		H	C8H	C10H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	4253	1	1		66.52195725219754	0.0	66.52195725219754
C10H2+	C9-		H	C9	C10H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	4254	1	1		42.08600681093669	0.0	42.08600681093669
C10H2+	C10-		H	C10	C10H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	4256	1	1		118.95319624605015	0.0	118.95319624605015
C10H2+	C10H-		H	C10H	C10H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	4257	1	1		78.11154525523912	0.0	78.11154525523912
C10H2+	C3N-		H	C3N	C10H			7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	4258	1	1		101.24414488724118	0.0	101.24414488724118
C5H5+	S-		H	S	H2	C5H2		7.51e-08	-0.5	0.0	2.0	0.0	logn	4	10.0	300.0	3	4262	1	1		37.14749895832617	0.0	37.14749895832617
